IdGeographie,Continent,Type,Pays
714,Asia,City,Syria
715,Asia,City,China
716,Asia,City,China
717,Asia,City,Pakistan
718,Asia,City,India
719,Asia,City,Japan
720,Asia,City,Japan
721,Asia,City,India
722,Asia,City,Japan
723,Asia,City,India
724,Asia,City,Japan
725,Asia,City,Japan
726,Asia,City,South Korea
727,Asia,City,China
728,Asia,City,Singapore
729,Asia,City,Taiwan
730,Asia,City,Iran
731,Asia,City,Bhutan
732,Asia,City,Japan
733,Asia,City,China
734,Asia,City,Armenia
735,Asia,City,Japan
284,Europe,Country/Region,Denmark
285,Europe,Country/Region,France
286,Europe,Country/Region,Germany
287,Europe,Country/Region,Greece
288,Europe,Country/Region,the Netherlands
289,Europe,Country/Region,Ireland
290,Europe,Country/Region,Italy
291,Europe,Country/Region,Malta
292,Europe,Country/Region,Poland
293,Europe,Country/Region,Portugal
294,Europe,Country/Region,Romania
295,Europe,Country/Region,Russia
296,Europe,Country/Region,Slovenia
297,Europe,Country/Region,Spain
298,Europe,Country/Region,Sweden
299,Europe,Country/Region,Switzerland
300,Europe,Country/Region,United Kingdom
330,Europe,State/Province,France
331,Europe,State/Province,France
332,Europe,State/Province,Germany
333,Europe,State/Province,Germany
334,Europe,State/Province,Germany
335,Europe,State/Province,Switzerland
336,Europe,State/Province,Romania
337,Europe,State/Province,Greece
338,Europe,State/Province,United Kingdom
339,Europe,State/Province,Germany
340,Europe,State/Province,France
341,Europe,State/Province,Ireland
342,Europe,State/Province,Portugal
343,Europe,State/Province,Slovenia
344,Europe,State/Province,Italy
345,Europe,State/Province,Spain
346,Europe,State/Province,France
347,Europe,State/Province,Russia
348,Europe,State/Province,Russia
349,Europe,State/Province,the Netherlands
350,Europe,State/Province,Germany
351,Europe,State/Province,Germany
352,Europe,State/Province,Russia
353,Europe,State/Province,France
354,Europe,State/Province,France
355,Europe,State/Province,Italy
356,Europe,State/Province,Italy
357,Europe,State/Province,Germany
358,Europe,State/Province,France
359,Europe,State/Province,Italy
360,Europe,State/Province,United Kingdom
361,Europe,State/Province,Denmark
362,Europe,State/Province,Sweden
363,Europe,State/Province,Malta
364,Europe,State/Province,Italy
365,Europe,State/Province,Poland
385,Europe,State/Province,Germany
387,Europe,State/Province,France
388,Europe,State/Province,Germany
389,Europe,State/Province,France
391,Europe,State/Province,France
393,Europe,State/Province,France
395,Europe,State/Province,France
398,Europe,State/Province,France
399,Europe,State/Province,France
400,Europe,State/Province,France
402,Europe,State/Province,France
403,Europe,State/Province,France
404,Europe,State/Province,Germany
405,Europe,State/Province,France
410,Europe,State/Province,France
413,Europe,State/Province,France
414,Europe,State/Province,France
416,Europe,State/Province,France
418,Europe,State/Province,France
419,Europe,State/Province,Germany
423,Europe,City,United Kingdom
426,Europe,City,United Kingdom
435,Europe,City,France
437,Europe,City,Germany
439,Europe,City,United Kingdom
447,Europe,City,United Kingdom
449,Europe,City,United Kingdom
454,Europe,City,France
459,Europe,City,France
474,Europe,City,Germany
476,Europe,City,France
480,Europe,City,Germany
481,Europe,City,United Kingdom
482,Europe,City,Germany
483,Europe,City,Germany
485,Europe,City,United Kingdom
486,Europe,City,United Kingdom
491,Europe,City,Germany
496,Europe,City,Germany
497,Europe,City,United Kingdom
498,Europe,City,United Kingdom
501,Europe,City,United Kingdom
503,Europe,City,France
504,Europe,City,France
506,Europe,City,United Kingdom
513,Europe,City,Germany
515,Europe,City,Germany
517,Europe,City,Germany
521,Europe,City,Germany
524,Europe,City,France
525,Europe,City,United Kingdom
528,Europe,City,France
529,Europe,City,France
530,Europe,City,France
532,Europe,City,United Kingdom
533,Europe,City,Germany
539,Europe,City,France
540,Europe,City,France
541,Europe,City,United Kingdom
542,Europe,City,Germany
543,Europe,City,France
544,Europe,City,France
545,Europe,City,France
548,Europe,City,France
555,Europe,City,Germany
556,Europe,City,Germany
557,Europe,City,France
563,Europe,City,France
564,Europe,City,France
565,Europe,City,United Kingdom
567,Europe,City,United Kingdom
569,Europe,City,Germany
572,Europe,City,United Kingdom
574,Europe,City,United Kingdom
576,Europe,City,United Kingdom
585,Europe,City,United Kingdom
586,Europe,City,Germany
587,Europe,City,United Kingdom
588,Europe,City,United Kingdom
590,Europe,City,Germany
591,Europe,City,France
592,Europe,City,France
595,Europe,City,Germany
608,Europe,City,United Kingdom
615,Europe,City,France
616,Europe,City,France
621,Europe,City,France
622,Europe,City,France
623,Europe,City,Germany
624,Europe,City,France
626,Europe,City,Germany
629,Europe,City,Germany
635,Europe,City,Germany
638,Europe,City,United Kingdom
639,Europe,City,Germany
640,Europe,City,Germany
641,Europe,City,Germany
649,Europe,City,Germany
650,Europe,City,France
651,Europe,City,United Kingdom
654,Europe,City,United Kingdom
657,Europe,City,France
659,Europe,City,United Kingdom
661,Europe,City,France
662,Europe,City,Germany
664,Europe,City,Germany
666,Europe,City,United Kingdom
672,Europe,City,France
673,Europe,City,United Kingdom
674,Europe,City,Germany
676,Europe,City,United Kingdom
681,Europe,City,France
683,Europe,City,Germany
684,Europe,City,France
685,Europe,City,France
687,Europe,City,Germany
696,Europe,City,Germany
698,Europe,City,United Kingdom
700,Europe,City,France
702,Europe,City,France
704,Europe,City,United Kingdom
705,Europe,City,United Kingdom
736,Europe,City,the Netherlands
737,Europe,City,Greece
738,Europe,City,United Kingdom
739,Europe,City,Germany
740,Europe,City,Switzerland
741,Europe,City,Romania
742,Europe,City,United Kingdom
743,Europe,City,United Kingdom
745,Europe,City,Denmark
746,Europe,City,Ireland
747,Europe,City,Germany
748,Europe,City,United Kingdom
749,Europe,City,Italy
750,Europe,City,Germany
751,Europe,City,United Kingdom
752,Europe,City,Germany
753,Europe,City,United Kingdom
754,Europe,City,Germany
755,Europe,City,United Kingdom
756,Europe,City,Germany
757,Europe,City,Portugal
758,Europe,City,Slovenia
759,Europe,City,France
760,Europe,City,Spain
761,Europe,City,United Kingdom
762,Europe,City,France
763,Europe,City,Italy
764,Europe,City,Russia
765,Europe,City,Germany
766,Europe,City,France
767,Europe,City,France
768,Europe,City,Russia
769,Europe,City,Germany
770,Europe,City,Germany
771,Europe,City,Italy
772,Europe,City,Russia
773,Europe,City,Sweden
774,Europe,City,United Kingdom
775,Europe,City,France
776,Europe,City,Italy
777,Europe,City,France
778,Europe,City,Malta
779,Europe,City,Italy
780,Europe,City,Poland
781,Europe,City,United Kingdom
301,North America,Country/Region,Canada
302,North America,Country/Region,United States
366,North America,State/Province,United States
367,North America,State/Province,Canada
368,North America,State/Province,Canada
369,North America,State/Province,United States
370,North America,State/Province,United States
371,North America,State/Province,United States
372,North America,State/Province,United States
373,North America,State/Province,United States
374,North America,State/Province,United States
375,North America,State/Province,United States
376,North America,State/Province,United States
377,North America,State/Province,Canada
378,North America,State/Province,Canada
379,North America,State/Province,United States
380,North America,State/Province,United States
381,North America,State/Province,United States
382,North America,State/Province,United States
383,North America,State/Province,United States
386,North America,State/Province,United States
390,North America,State/Province,United States
392,North America,State/Province,United States
394,North America,State/Province,United States
396,North America,State/Province,United States
397,North America,State/Province,United States
401,North America,State/Province,United States
406,North America,State/Province,United States
408,North America,State/Province,United States
409,North America,State/Province,United States
411,North America,State/Province,United States
415,North America,State/Province,United States
417,North America,State/Province,United States
421,North America,State/Province,United States
422,North America,State/Province,United States
424,North America,City,United States
430,North America,City,United States
431,North America,City,United States
432,North America,City,United States
433,North America,City,United States
434,North America,City,United States
436,North America,City,United States
438,North America,City,United States
440,North America,City,United States
441,North America,City,United States
442,North America,City,United States
443,North America,City,United States
444,North America,City,United States
445,North America,City,United States
446,North America,City,Canada
448,North America,City,United States
450,North America,City,United States
451,North America,City,United States
452,North America,City,United States
453,North America,City,United States
455,North America,City,United States
456,North America,City,Canada
457,North America,City,United States
458,North America,City,United States
460,North America,City,United States
461,North America,City,United States
462,North America,City,United States
463,North America,City,United States
464,North America,City,United States
465,North America,City,United States
466,North America,City,United States
467,North America,City,Canada
469,North America,City,United States
470,North America,City,United States
472,North America,City,United States
475,North America,City,United States
479,North America,City,United States
488,North America,City,United States
490,North America,City,Canada
494,North America,City,United States
495,North America,City,United States
499,North America,City,Canada
500,North America,City,United States
502,North America,City,United States
505,North America,City,United States
507,North America,City,United States
508,North America,City,United States
511,North America,City,Canada
516,North America,City,United States
520,North America,City,United States
522,North America,City,United States
523,North America,City,United States
527,North America,City,United States
535,North America,City,United States
536,North America,City,United States
537,North America,City,United States
538,North America,City,United States
546,North America,City,United States
547,North America,City,United States
550,North America,City,Canada
551,North America,City,United States
552,North America,City,United States
559,North America,City,United States
560,North America,City,United States
562,North America,City,Canada
566,North America,City,United States
570,North America,City,United States
571,North America,City,Canada
573,North America,City,United States
575,North America,City,United States
577,North America,City,United States
578,North America,City,United States
579,North America,City,United States
580,North America,City,United States
581,North America,City,United States
582,North America,City,United States
583,North America,City,United States
584,North America,City,United States
593,North America,City,United States
594,North America,City,United States
597,North America,City,United States
598,North America,City,Canada
600,North America,City,United States
601,North America,City,United States
602,North America,City,United States
603,North America,City,United States
604,North America,City,United States
605,North America,City,United States
606,North America,City,United States
607,North America,City,United States
609,North America,City,United States
610,North America,City,United States
611,North America,City,United States
612,North America,City,United States
614,North America,City,United States
617,North America,City,United States
618,North America,City,United States
619,North America,City,United States
620,North America,City,United States
625,North America,City,United States
627,North America,City,United States
631,North America,City,United States
633,North America,City,United States
642,North America,City,United States
643,North America,City,United States
644,North America,City,United States
645,North America,City,United States
647,North America,City,Canada
652,North America,City,United States
653,North America,City,United States
658,North America,City,United States
660,North America,City,United States
665,North America,City,Canada
667,North America,City,United States
668,North America,City,Canada
670,North America,City,United States
671,North America,City,Canada
675,North America,City,Canada
677,North America,City,United States
678,North America,City,United States
682,North America,City,Canada
686,North America,City,United States
688,North America,City,United States
689,North America,City,United States
690,North America,City,United States
691,North America,City,United States
693,North America,City,United States
694,North America,City,United States
695,North America,City,Canada
701,North America,City,Canada
703,North America,City,United States
707,North America,City,United States
782,North America,City,United States
783,North America,City,United States
784,North America,City,United States
785,North America,City,United States
786,North America,City,United States
787,North America,City,United States
788,North America,City,United States
789,North America,City,United States
790,North America,City,United States
791,North America,City,United States
792,North America,City,United States
793,North America,City,United States
794,North America,City,United States
795,North America,City,United States
796,North America,City,United States
797,North America,City,United States
798,North America,City,United States
799,North America,City,United States
800,North America,City,United States
801,North America,City,United States
802,North America,City,United States
803,North America,City,United States
804,North America,City,United States
805,North America,City,United States
806,North America,City,United States
807,North America,City,United States
808,North America,City,United States
809,North America,City,United States
810,North America,City,United States
811,North America,City,United States
812,North America,City,United States
813,North America,City,United States
814,North America,City,United States
815,North America,City,United States
816,North America,City,United States
817,North America,City,United States
818,North America,City,United States
819,North America,City,United States
820,North America,City,United States
821,North America,City,United States
822,North America,City,United States
823,North America,City,United States
824,North America,City,United States
825,North America,City,United States
826,North America,City,United States
827,North America,City,United States
828,North America,City,United States
829,North America,City,United States
830,North America,City,United States
831,North America,City,United States
832,North America,City,United States
833,North America,City,United States
834,North America,City,United States
835,North America,City,United States
836,North America,City,United States
837,North America,City,United States
838,North America,City,United States
839,North America,City,United States
840,North America,City,United States
841,North America,City,United States
842,North America,City,United States
843,North America,City,United States
844,North America,City,United States
845,North America,City,United States
846,North America,City,United States
847,North America,City,United States
848,North America,City,United States
849,North America,City,United States
850,North America,City,United States
851,North America,City,United States
852,North America,City,United States
853,North America,City,United States
854,North America,City,United States
855,North America,City,United States
856,North America,City,United States
857,North America,City,United States
858,North America,City,United States
859,North America,City,United States
860,North America,City,United States
861,North America,City,United States
862,North America,City,United States
863,North America,City,United States
864,North America,City,United States
865,North America,City,United States
866,North America,City,United States
867,North America,City,United States
868,North America,City,United States
869,North America,City,United States
870,North America,City,United States
871,North America,City,United States
872,North America,City,United States
873,North America,City,United States
874,North America,City,United States
875,North America,City,United States
876,North America,City,United States
877,North America,City,United States
878,North America,City,United States
879,North America,City,United States
880,North America,City,United States
881,North America,City,Canada
882,North America,City,United States
883,North America,City,United States
884,North America,City,United States
885,North America,City,United States
886,North America,City,United States
887,North America,City,United States
888,North America,City,United States
889,North America,City,United States
890,North America,City,United States
891,North America,City,United States
892,North America,City,United States
893,North America,City,United States
894,North America,City,United States
895,North America,City,United States
896,North America,City,United States
897,North America,City,United States
898,North America,City,United States
899,North America,City,United States
900,North America,City,United States
901,North America,City,United States
902,North America,City,United States
903,North America,City,Canada
904,North America,City,United States
905,North America,City,United States
906,North America,City,United States
907,North America,City,United States
908,North America,City,United States
909,North America,City,United States
910,North America,City,United States
911,North America,City,United States
912,North America,City,United States
913,North America,City,United States
914,North America,City,United States
915,North America,City,United States
916,North America,City,United States
917,North America,City,United States
918,North America,City,United States
919,North America,City,United States
920,North America,City,United States
921,North America,City,United States
922,North America,City,United States
923,North America,City,United States
924,North America,City,United States
925,North America,City,United States
926,North America,City,United States
927,North America,City,United States
928,North America,City,United States
929,North America,City,United States
930,North America,City,United States
931,North America,City,United States
932,North America,City,United States
933,North America,City,United States
934,North America,City,United States
935,North America,City,United States
936,North America,City,United States
937,North America,City,United States
938,North America,City,United States
939,North America,City,United States
940,North America,City,United States
941,North America,City,United States
942,North America,City,Canada
943,North America,City,United States
944,North America,City,United States
945,North America,City,United States
946,North America,City,United States
947,North America,City,United States
948,North America,City,United States
949,North America,City,United States
950,North America,City,United States
951,North America,City,United States
952,North America,City,United States
