IdBoutique,IdGeographie,Boutique,Status,Type,Surface,Employee,CloseReason
239,765,Contoso Munich Store,On,Store,500,18,
240,736,Contoso Amsterdam Store,On,Store,680,26,
241,745,Contoso Copenhagen Store,On,Store,680,25,
242,773,Contoso Stockholm Store,On,Store,680,33,
243,760,Contoso Madrid Store,On,Store,680,35,
244,758,Contoso Ljubljana Store,On,Store,680,36,
245,741,Contoso Bucharest Store,On,Store,680,25,
246,740,Contoso Berne Store,On,Store,680,53,
247,780,Contoso Warsaw Store,On,Store,680,15,
248,778,Contoso Valletta Store,On,Store,680,42,
249,746,Contoso Dublin Store,On,Store,680,55,
250,737,Contoso Athens Store,On,Store,680,15,
251,728,Contoso Singapore Store,On,Store,480,27,
252,713,Contoso Canberra Store,On,Store,480,28,
253,558,Contoso Sydney No.1 Store,On,Store,480,20,
254,734,Contoso Yerevan Store,On,Store,480,15,
255,723,Contoso New Delhi Store,On,Store,480,29,
256,721,Contoso Mumbai Store,On,Store,480,35,
257,718,Contoso Kolkata Store,On,Store,480,35,
258,731,Contoso Thimphu No.1 Store,On,Store,480,35,
259,716,Contoso Hong Kong No.1 Store,On,Store,480,35,
260,730,Contoso Tehran No.1 Store,On,Store,480,35,
261,714,Contoso Damascus No.1 Store,On,Store,480,35,
262,709,Contoso Bangkok No.1 Store,On,Store,480,62,
263,764,Contoso Moscow  No.1 Store,On,Store,480,65,
264,708,Contoso Ashgabat No.1 Store,On,Store,480,68,
265,717,Contoso Islamabad No.1 Store,On,Store,480,71,
267,732,Contoso Tokyo No.1 Store,On,Store,480,68,
268,732,Contoso Tokyo No.2 Store,On,Store,480,68,
269,735,Contoso Yokohama Store,On,Store,480,77,
270,724,Contoso Osaka No.1 Store,On,Store,480,80,
271,722,Contoso Nagoya Store,On,Store,480,50,
272,725,Contoso Sapporo Store,On,Store,480,50,
273,719,Contoso Kyoto Store,On,Store,480,50,
274,726,Contoso Seoul Store,On,Store,480,50,
275,712,Contoso Busan Store,On,Store,480,50,
276,711,Contoso Bishkek Store,On,Store,480,50,
277,727,Contoso Shanghai No.1 Store,On,Store,480,95,
278,733,Contoso Urumqi Store,On,Store,480,50,
279,710,Contoso Beijing Store,On,Store,480,86,
280,715,Contoso Guangzhou Store,On,Store,480,131,
281,727,Contoso Shanghai No.2 Store,On,Store,480,95,
282,903,Contoso Ottawa No.1 Store,On,Store,480,95,
283,903,Contoso Ottawa No.2 Store,On,Store,480,95,
284,942,Contoso Toronto No.1 Store,On,Store,480,95,
285,942,Contoso Toronto No.2 Store,On,Store,480,95,
286,942,Contoso Toronto No.3 Store,On,Store,480,95,
287,881,Contoso Montreal No.1 Store,On,Store,480,95,
288,881,Contoso Montreal No.2 Store,On,Store,480,95,
289,562,Contoso Vancouver  No.1 Store,On,Store,480,95,
290,562,Contoso Vancouver  No.2 Store,On,Store,480,95,
291,598,Contoso Calgary  Store,On,Store,480,95,
292,731,Contoso Thimphu No.2 Store,On,Store,480,95,
293,716,Contoso Hong Kong No.2 Store,On,Store,480,95,
294,730,Contoso Tehran No.2 Store,On,Store,480,95,
295,714,Contoso Damascus No.2 Store,On,Store,480,95,
296,709,Contoso Bangkok No.2 Store,On,Store,480,95,
297,764,Contoso Moscow  No.2 Store,On,Store,480,95,
298,708,Contoso Ashgabat  No.2 Store,On,Store,480,95,
299,717,Contoso Islamabad  No.2 Store,On,Store,480,95,
300,558,Contoso Sydney  No.2 Store,On,Store,480,95,
301,724,Contoso Osaka No.2 Store,On,Store,480,95,
302,729,Contoso Taipei  Store,On,Store,480,95,
303,757,Contoso Lisbon Store,On,Store,480,95,
304,772,Contoso Saint Petersburg Store,On,Store,480,95,
305,768,Contoso Nizhny Novgorod Store,On,Store,480,95,
306,586,Contoso Europe Online Store,On,Online,1000,7,
307,710,Contoso Asia Online Store,On,Online,93800,8,
308,693,Contoso North America Reseller,On,Reseller,450,15,
309,529,Contoso Europe Reseller,On,Reseller,551,12,
310,710,Contoso Asia Reseller,On,Reseller,93800,17,
