Marque,Class,Fabricant,Description,Produit,Coût unitaire,Prix unitaire,IdProduit,IdSousCategorieProduit
A. Datum,Regular,A. Datum Corporation,"Digital camera, digital camera - compact, 3.9 in x 0.8 in x 2.3 in, weight 4.8 oz",A. Datum Full Frame Digital Camera X300 Black,$76.53 ,$231 ,957,23
A. Datum,Regular,A. Datum Corporation,"Digital camera, digital camera - compact, 3.9 in x 0.8 in x 2.3 in, weight 4.8 oz",A. Datum Full Frame Digital Camera X300 Green,$76.53 ,$231 ,1027,23
A. Datum,Regular,A. Datum Corporation,"Digital camera, digital camera - compact, 3.9 in x 0.8 in x 2.3 in, weight 4.8 oz",A. Datum Full Frame Digital Camera X300 Grey,$76.53 ,$231 ,971,23
A. Datum,Regular,A. Datum Corporation,"Digital camera, digital camera - compact, 3.9 in x 0.8 in x 2.3 in, weight 4.8 oz",A. Datum Full Frame Digital Camera X300 Orange,$76.53 ,$231 ,1013,23
A. Datum,Regular,A. Datum Corporation,"Digital camera, digital camera - compact, 3.9 in x 0.8 in x 2.3 in, weight 4.8 oz",A. Datum Full Frame Digital Camera X300 Pink,$76.53 ,$231 ,985,23
A. Datum,Regular,A. Datum Corporation,"Digital camera, digital camera - compact, 3.9 in x 0.8 in x 2.3 in, weight 4.8 oz",A. Datum Full Frame Digital Camera X300 Silver,$76.53 ,$231 ,999,23
A. Datum,Regular,A. Datum Corporation,"Digital camera, product type digital camera - compact, dimensions 3.5 in x 1 in x 2.3 in",A. Datum Interchangeable lens Non-SLR Digital Camera X250 Azure,$88.79 ,$268 ,1033,23
A. Datum,Regular,A. Datum Corporation,"Digital camera, product type digital camera - compact, dimensions 3.5 in x 1 in x 2.3 in",A. Datum Interchangeable lens Non-SLR Digital Camera X250 Black,$88.79 ,$268 ,949,23
A. Datum,Regular,A. Datum Corporation,"Digital camera, product type digital camera - compact, dimensions 3.5 in x 1 in x 2.3 in",A. Datum Interchangeable lens Non-SLR Digital Camera X250 Green,$88.79 ,$268 ,1019,23
A. Datum,Regular,A. Datum Corporation,"Digital camera, product type digital camera - compact, dimensions 3.5 in x 1 in x 2.3 in",A. Datum Interchangeable lens Non-SLR Digital Camera X250 Grey,$88.79 ,$268 ,963,23
A. Datum,Regular,A. Datum Corporation,"Digital camera, product type digital camera - compact, dimensions 3.5 in x 1 in x 2.3 in",A. Datum Interchangeable lens Non-SLR Digital Camera X250 Orange,$88.79 ,$268 ,1005,23
A. Datum,Regular,A. Datum Corporation,"Digital camera, product type digital camera - compact, dimensions 3.5 in x 1 in x 2.3 in",A. Datum Interchangeable lens Non-SLR Digital Camera X250 Pink,$88.79 ,$268 ,977,23
A. Datum,Regular,A. Datum Corporation,"Digital camera, product type digital camera - compact, dimensions 3.5 in x 1 in x 2.3 in",A. Datum Interchangeable lens Non-SLR Digital Camera X250 Silver,$88.79 ,$268 ,991,23
A. Datum,Regular,A. Datum Corporation,"Digital camera, product Type digital camera - compact, dimensions 4.3 in x 1.1 in x 2.4 in, weight 8.1 oz",A. Datum Bridge Digital Camera M300 Azure,$85.95 ,$186.90 ,1038,23
A. Datum,Regular,A. Datum Corporation,"Digital camera, product Type digital camera - compact, dimensions 4.3 in x 1.1 in x 2.4 in, weight 8.1 oz",A. Datum Bridge Digital Camera M300 Black,$85.95 ,$186.90 ,954,23
A. Datum,Regular,A. Datum Corporation,"Digital camera, product Type digital camera - compact, dimensions 4.3 in x 1.1 in x 2.4 in, weight 8.1 oz",A. Datum Bridge Digital Camera M300 Green,$85.95 ,$186.90 ,1024,23
A. Datum,Regular,A. Datum Corporation,"Digital camera, product Type digital camera - compact, dimensions 4.3 in x 1.1 in x 2.4 in, weight 8.1 oz",A. Datum Bridge Digital Camera M300 Grey,$85.95 ,$186.90 ,968,23
A. Datum,Regular,A. Datum Corporation,"Digital camera, product Type digital camera - compact, dimensions 4.3 in x 1.1 in x 2.4 in, weight 8.1 oz",A. Datum Bridge Digital Camera M300 Orange,$85.95 ,$186.90 ,1010,23
A. Datum,Regular,A. Datum Corporation,"Digital camera, product Type digital camera - compact, dimensions 4.3 in x 1.1 in x 2.4 in, weight 8.1 oz",A. Datum Bridge Digital Camera M300 Pink,$85.95 ,$186.90 ,982,23
A. Datum,Regular,A. Datum Corporation,"Digital camera, product Type digital camera - compact, dimensions 4.3 in x 1.1 in x 2.4 in, weight 8.1 oz",A. Datum Bridge Digital Camera M300 Silver,$85.95 ,$186.90 ,996,23
A. Datum,Regular,A. Datum Corporation,"Digital camera, product type digital camera - compact, dimensions 4.7 in x 3.5 in x 3 in, weight 13 oz",A. Datum SLR-like Digital Camera M400 Azure,$90.55 ,$196.90 ,1039,23
A. Datum,Regular,A. Datum Corporation,"Digital camera, product type digital camera - compact, dimensions 4.7 in x 3.5 in x 3 in, weight 13 oz",A. Datum SLR-like Digital Camera M400 Black,$90.55 ,$196.90 ,955,23
A. Datum,Regular,A. Datum Corporation,"Digital camera, product type digital camera - compact, dimensions 4.7 in x 3.5 in x 3 in, weight 13 oz",A. Datum SLR-like Digital Camera M400 Green,$90.55 ,$196.90 ,1025,23
A. Datum,Regular,A. Datum Corporation,"Digital camera, product type digital camera - compact, dimensions 4.7 in x 3.5 in x 3 in, weight 13 oz",A. Datum SLR-like Digital Camera M400 Grey,$90.55 ,$196.90 ,969,23
A. Datum,Regular,A. Datum Corporation,"Digital camera, product type digital camera - compact, dimensions 4.7 in x 3.5 in x 3 in, weight 13 oz",A. Datum SLR-like Digital Camera M400 Orange,$90.55 ,$196.90 ,1011,23
A. Datum,Regular,A. Datum Corporation,"Digital camera, product type digital camera - compact, dimensions 4.7 in x 3.5 in x 3 in, weight 13 oz",A. Datum SLR-like Digital Camera M400 Pink,$90.55 ,$196.90 ,983,23
A. Datum,Regular,A. Datum Corporation,"Digital camera, product type digital camera - compact, dimensions 4.7 in x 3.5 in x 3 in, weight 13 oz",A. Datum SLR-like Digital Camera M400 Silver,$90.55 ,$196.90 ,997,23
A. Datum,Regular,A. Datum Corporation,"Digital camera, product type digital camera - compact, dimensions, 3.7 in x 0.9 in x 2.3 in, weight 5.5 oz",A. Datum All in One Digital Camera M200 Azure,$86.45 ,$188 ,1032,23
A. Datum,Regular,A. Datum Corporation,"Digital camera, product type digital camera - compact, dimensions, 3.7 in x 0.9 in x 2.3 in, weight 5.5 oz",A. Datum All in One Digital Camera M200 Green,$86.45 ,$188 ,1018,23
A. Datum,Regular,A. Datum Corporation,"Digital camera, product type digital camera - compact, dimensions, 3.7 in x 0.9 in x 2.3 in, weight 5.5 oz",A. Datum All in One Digital Camera M200 Grey,$86.45 ,$188 ,962,23
A. Datum,Regular,A. Datum Corporation,"Digital camera, product type digital camera - compact, dimensions, 3.7 in x 0.9 in x 2.3 in, weight 5.5 oz",A. Datum All in One Digital Camera M200 Orange,$86.45 ,$188 ,1004,23
A. Datum,Regular,A. Datum Corporation,"Digital camera, product type digital camera - compact, dimensions, 3.7 in x 0.9 in x 2.3 in, weight 5.5 oz",A. Datum All in One Digital Camera M200 Pink,$86.45 ,$188 ,976,23
A. Datum,Regular,A. Datum Corporation,"Digital camera, product type digital camera - compact, dimensions, 3.7 in x 0.9 in x 2.3 in, weight 5.5 oz",A. Datum All in One Digital Camera M200 Silver,$86.45 ,$188 ,990,23
A. Datum,Regular,A. Datum Corporation,"Digital camera, Product Type Digital camera - compact, Dimensions. 3.7 in x 0.9 in x 2.3 in, weight 5.5 oz",A. Datum All in One Digital Camera M200 Black,$86.45 ,$188 ,948,23
A. Datum,Regular,A. Datum Corporation,"Digital camera, product type digital camera, dimensions 3.9 in x 1 in x 2.2 in . Weight 5.3 oz",A. Datum Advanced Digital Camera M300 Grey,$86.68 ,$188.50 ,967,23
A. Datum,Regular,A. Datum Corporation,"Digital camera, product type digital camera, dimensions 3.9 in x 1 in x 2.2 in, weight 5.3 oz",A. Datum Advanced Digital Camera M300 Azure,$86.68 ,$188.50 ,1037,23
A. Datum,Regular,A. Datum Corporation,"Digital camera, product type digital camera, dimensions 3.9 in x 1 in x 2.2 in, weight 5.3 oz",A. Datum Advanced Digital Camera M300 Black,$86.68 ,$188.50 ,953,23
A. Datum,Regular,A. Datum Corporation,"Digital camera, product type digital camera, dimensions 3.9 in x 1 in x 2.2 in, weight 5.3 oz",A. Datum Advanced Digital Camera M300 Green,$86.68 ,$188.50 ,1023,23
A. Datum,Regular,A. Datum Corporation,"Digital camera, product type digital camera, dimensions 3.9 in x 1 in x 2.2 in, weight 5.3 oz",A. Datum Advanced Digital Camera M300 Orange,$86.68 ,$188.50 ,1009,23
A. Datum,Regular,A. Datum Corporation,"Digital camera, product type digital camera, dimensions 3.9 in x 1 in x 2.2 in, weight 5.3 oz",A. Datum Advanced Digital Camera M300 Pink,$86.68 ,$188.50 ,981,23
A. Datum,Regular,A. Datum Corporation,"Digital camera, product type digital camera, dimensions 3.9 in x 1 in x 2.2 in, weight 5.3 oz",A. Datum Advanced Digital Camera M300 Silver,$86.68 ,$188.50 ,995,23
A. Datum,Regular,A. Datum Corporation,Dynamic integrated dust reduction system,A. Datum SLR Camera X138 Silver Grey,$207.74 ,$627 ,1056,24
A. Datum,Regular,A. Datum Corporation,"Fast startup and split-second shutter response, shoot continuously at up to 3 frames per second","A. Datum SLR Camera 35"" X358 Silver Grey",$194.82 ,$588 ,1057,24
A. Datum,Regular,A. Datum Corporation,"Fast startup and split-second shutter response, shoot continuously at up to 3 frames per second",A. Datum SLR Camera X137 Grey,$207.74 ,$627 ,1052,24
A. Datum,Regular,A. Datum Corporation,"gital camera, digital camera - compact, 3.7 in x 0.9 in x 2 in, weight 4.4 oz",A. Datum Point n' Shoot Digital Camera M500 Azure,$91.05 ,$198 ,1040,23
A. Datum,Regular,A. Datum Corporation,"gital camera, digital camera - compact, 3.7 in x 0.9 in x 2 in, weight 4.4 oz",A. Datum Point n' Shoot Digital Camera M500 Grey,$91.05 ,$198 ,970,23
A. Datum,Regular,A. Datum Corporation,"gital camera, digital camera - compact, 3.7 in x 0.9 in x 2 in, weight 4.4 oz",A. Datum Point Shoot Digital Camera M500 Black,$91.05 ,$198 ,956,23
A. Datum,Regular,A. Datum Corporation,"gital camera, digital camera - compact, 3.7 in x 0.9 in x 2 in, weight 4.4 oz",A. Datum Point Shoot Digital Camera M500 Green,$91.05 ,$198 ,1026,23
A. Datum,Regular,A. Datum Corporation,"gital camera, digital camera - compact, 3.7 in x 0.9 in x 2 in, weight 4.4 oz",A. Datum Point Shoot Digital Camera M500 Orange,$91.05 ,$198 ,1012,23
A. Datum,Regular,A. Datum Corporation,"gital camera, digital camera - compact, 3.7 in x 0.9 in x 2 in, weight 4.4 oz",A. Datum Point Shoot Digital Camera M500 Pink,$91.05 ,$198 ,984,23
A. Datum,Regular,A. Datum Corporation,"gital camera, digital camera - compact, 3.7 in x 0.9 in x 2 in, weight 4.4 oz",A. Datum Point Shoot Digital Camera M500 Silver,$91.05 ,$198 ,998,23
A. Datum,Regular,A. Datum Corporation,On-screen autofocus with live view displays subjects in focus on the LCD the instant the shutter is pressed halfway,A. Datum SLR Camera X135 Black,$207.74 ,$627 ,1044,24
A. Datum,Regular,A. Datum Corporation,"Optical zoom 2.7in LCD digital camera, 100kgf",A. Datum Full Frame Digital Camera X300 Silver Grey,$76.53 ,$231 ,1043,23
A. Datum,Regular,A. Datum Corporation,Powerful megapixel live-MOS sensor,"A. Datum SLR Camera 35"" X358 Silver",$194.82 ,$588 ,1049,24
A. Datum,Regular,A. Datum Corporation,"Product type digital camera - compact, dimensions 3.8 in x 1 in x 2.1 in, weight 5.3 oz",A. Datum Consumer Digital Camera M300 Azure,$84.84 ,$184.50 ,1036,23
A. Datum,Regular,A. Datum Corporation,"Product type digital camera - compact, dimensions 3.8 in x 1 in x 2.1 in, weight 5.3 oz",A. Datum Consumer Digital Camera M300 Black,$84.84 ,$184.50 ,952,23
A. Datum,Regular,A. Datum Corporation,"Product type digital camera - compact, dimensions 3.8 in x 1 in x 2.1 in, weight 5.3 oz",A. Datum Consumer Digital Camera M300 Green,$84.84 ,$184.50 ,1022,23
A. Datum,Regular,A. Datum Corporation,"Product type digital camera - compact, dimensions 3.8 in x 1 in x 2.1 in, weight 5.3 oz",A. Datum Consumer Digital Camera M300 Grey,$84.84 ,$184.50 ,966,23
A. Datum,Regular,A. Datum Corporation,"Product type digital camera - compact, dimensions 3.8 in x 1 in x 2.1 in, weight 5.3 oz",A. Datum Consumer Digital Camera M300 Orange,$84.84 ,$184.50 ,1008,23
A. Datum,Regular,A. Datum Corporation,"Product type digital camera - compact, dimensions 3.8 in x 1 in x 2.1 in, weight 5.3 oz",A. Datum Consumer Digital Camera M300 Pink,$84.84 ,$184.50 ,980,23
A. Datum,Regular,A. Datum Corporation,"Product type digital camera - compact, dimensions 3.8 in x 1 in x 2.1 in, weight 5.3 oz",A. Datum Consumer Digital Camera M300 Silver,$84.84 ,$184.50 ,994,23
A. Datum,Regular,A. Datum Corporation,"Shoot at up to 2.5 frames per second, capturing high-quality action sequences of children in sporting activities such as soccer","A. Datum SLR Camera 35"" X358 Grey",$194.82 ,$588 ,1053,24
Adventure Works,Deluxe,Adventure Works,"2.33GHz dual processor, 4MB L2 cache, 750GB 7200RPM hard drive",Adventure Works Desktop PC2.33 XD233 Black,$321.05 ,$969 ,422,17
Adventure Works,Deluxe,Adventure Works,"2.33GHz dual processor, 4MB L2 cache, 750GB 7200RPM hard drive",Adventure Works Desktop PC2.33 XD233 Brown,$321.05 ,$969 ,428,17
Adventure Works,Deluxe,Adventure Works,"2.33GHz dual processor, 4MB L2 cache, 750GB 7200RPM hard drive",Adventure Works Desktop PC2.33 XD233 Silver,$321.05 ,$969 ,416,17
Adventure Works,Deluxe,Adventure Works,"2.33GHz dual processor, 4MB L2 cache, 750GB 7200RPM hard drive",Adventure Works Desktop PC2.33 XD233 White,$321.05 ,$969 ,433,17
Adventure Works,Deluxe,Adventure Works,"24 Inch HD display, 160° horizontal and vertical viewing angles",Adventure Works LCD24 X300 Black,$271.35 ,$819 ,489,18
Adventure Works,Deluxe,Adventure Works,"24 inches HD display, 160° horizontal and vertical viewing angles",Adventure Works LCD24 X300 White,$271.35 ,$819 ,503,18
Adventure Works,Deluxe,Adventure Works,"24 inches widescreen HD display, 1920 x 1200 maximum resolutions",Adventure Works LCD24W X300 White,$287.92 ,$869 ,504,18
Adventure Works,Deluxe,Adventure Works,"24 widescreen HD display, 1920 x 1200 maximum resolutions",Adventure Works LCD24W X300 Black,$287.92 ,$869 ,490,18
Adventure Works,Deluxe,Adventure Works,"320 GB hard drive, 4 GB RAM 19-inches LCD",Adventure Works Laptop19 X1900 Black,$430.38 ,"$1,299 ",362,15
Adventure Works,Deluxe,Adventure Works,"320 GB hard drive, 4 GB RAM 19-inches widescreen LCD with perfect 16:9 aspect ratio",Adventure Works Laptop19W X1980 Blue,$430.38 ,"$1,299 ",386,15
Adventure Works,Deluxe,Adventure Works,"320 GB hard drive, 4 GB RAM 19-inches widescreen LCD with perfect 16:9 aspect ratio",Adventure Works Laptop19W X1980 Red,$430.38 ,"$1,299 ",380,15
Adventure Works,Deluxe,Adventure Works,"320 GB hard drive, 4 GB RAM 19-inches widescreen LCD with perfect 16:9 aspect ratio",Adventure Works Laptop19W X1980 Silver,$430.38 ,"$1,299 ",374,15
