id,abv,ibu,name,style,brewery_id,ounces
1409,0.07,,Heavy Machinery IPA Series #1: Heavy Fist,American Black Ale,413,16
343,0.062,,Fire Eagle IPA,American IPA,413,12
342,0.051,,Peacemaker,American Pale Ale (APA),413,12
341,0.053,,Pearl-Snap,German Pilsener,413,12
340,0.052,,Black Thunder,Schwarzbier,413,12
2589,0.08,,Raja,American Double / Imperial IPA,37,12
2546,0.064,,Perzik Saison,Saison / Farmhouse Ale,37,12
146,0.047,42,Avery Joe’s Premium American Pilsner,German Pilsener,37,12
108,0.056,10,White Rascal,Witbier,37,12
107,0.063,69,Avery India Pale Ale,American IPA,37,12
106,0.055,17,Ellie’s Brown Ale,American Brown Ale,37,12
1620,0.062,17,Pumpkin Beast,Pumpkin Ale,360,12
1579,0.072,22,OktoberBeast,Märzen / Oktoberfest,360,12
1228,0.048,23,Mad Beach,American Pale Wheat Ale,360,12
705,0.067,,Hog Wild India Pale Ale,American IPA,360,12
704,0.092,5,Devils Tramping Ground Tripel,Tripel,360,12
702,0.061,41,Hot Rod Red,American Amber / Red Ale,360,12
2058,0.086,,Palate Mallet,American Double / Imperial IPA,235,12
1483,0.06,,Back East Porter,American Porter,235,12
1426,0.049,,Back East Golden Ale,American Blonde Ale,235,12
1132,0.07,,Misty Mountain IPA,American IPA,235,12
1131,0.05,,Back East Ale,American Amber / Red Ale,235,12
1876,0.06,,Truck Stop Honey Brown Ale,English Brown Ale,286,12
1875,0.06,43,Naked Pig Pale Ale,American Pale Ale (APA),286,12
966,0.068,70,Topcutter India Pale Ale,American IPA,483,12
965,0.044,38,Field 41 Pale Ale,American Pale Ale (APA),483,12
2593,0.07,,Grapefruit Sculpin,American IPA,34,12
2105,0.038,40,Even Keel,American IPA,34,12
1401,0.052,23,Ballast Point Pale Ale,Kölsch,34,12
1400,0.07,75,Big Eye India Pale Ale,American IPA,34,12
1019,0.046,,Longfin Lager,Munich Helles Lager,34,12
1018,0.07,70,Sculpin IPA,American IPA,34,12
1776,0.045,,All Nighter Ale,Extra Special / Strong Bitter (ESB),318,12
1644,0.045,20,Banner American Rye,Rye Beer,318,12
1643,0.035,45,Banner American Ale,American Amber / Red Ale,318,12
2618,0.07,46,Thai.p.a,American IPA,20,16
2005,0.06,60,Barrio Blanco,American IPA,251,12
1343,0.045,,Barrio Tucson Blonde,American Blonde Ale,251,12
2404,0.049,22,Hop in the ‘Pool Helles,American Pilsner,116,12
2323,0.067,60,Ultra Gnar Gnar IPA,American IPA,116,12
2189,0.068,62,In-Tents India Pale Lager,American Pale Lager,116,12
2188,0.05,20,Lost Meridian Wit,Witbier,116,12
2187,0.051,45,Celestial Meridian Cascadian Dark Lager,Euro Dark Lager,116,12
1966,0.054,55,Wagon Party,California Common / Steam Beer,258,12
1965,0.067,70,Sky-Five,American IPA,258,12
1964,0.05,28,Stargrazer,Schwarzbier,258,12
1963,0.054,48,Wonderstuff,German Pilsener,258,12
1855,0.053,,Tarnation California-Style Lager,California Common / Steam Beer,292,12
1778,0.07,42,On the Count of 3 (2015),Hefeweizen,292,16
1209,0.047,,Summer Swelter,American Pale Wheat Ale,292,12
954,0.068,,Phantom Punch Winter Stout,Foreign / Export Stout,292,12
910,0.066,,Hayride Autumn Ale,Rye Beer,292,12
707,0.047,,Celsius Summer Ale (2012),American Pale Wheat Ale,292,12
533,0.055,35,Amber Road,American Amber / Red Ale,292,12
183,0.049,28,Pamola Xtra Pale Ale,American Pale Ale (APA),292,12
182,0.069,69,Stowaway IPA,American IPA,292,12
1806,0.088,108,Hoptopus Double IPA,American Double / Imperial IPA,306,16
2435,0.05,10,Watermelon Ale,Fruit / Vegetable Beer,103,12
2423,0.058,45,Fenway American Pale Ale,American Pale Ale (APA),103,12
2420,0.068,85,Back Bay IPA,American IPA,103,12
2419,0.048,16,Bunker Hill Blueberry Ale ,Other,103,12
2494,0.058,,Oberon,American Pale Wheat Ale,76,12
2325,0.06,,Smitten,Rye Beer,76,16
2022,0.05,,Winter White,Witbier,76,16
1989,0.058,,Oberon,American Pale Wheat Ale,76,16
1988,0.07,,Two Hearted,American IPA,76,16
1955,0.058,,Best Brown,American Brown Ale,76,16
2558,0.044,44,Moar,English India Pale Ale (IPA),53,12
2557,0.083,,Uber Lupin Schwarz IPA,American Double / Imperial IPA,53,16
2556,0.057,27,Nordic Blonde,American Blonde Ale,53,12
2496,0.06,,Cold Press,American Black Ale,75,12
2410,0.072,87,Harness the Winter,American IPA,75,12
1902,0.056,32,14° ESB ,Extra Special / Strong Bitter (ESB),75,12
1901,0.062,68,Bent Hop Golden IPA,American IPA,75,12
1261,0.06,34,Bent Paddle Black Ale,American Black Ale,75,12
1253,0.05,38,Venture Pils,German Pilsener,75,12
1900,0.055,40,Lost Sailor IPA,English India Pale Ale (IPA),278,12
1317,0.053,20,Steel Rail Extra Pale Ale,American Pale Ale (APA),278,12
1158,0.078,,La Frontera Premium IPA,American IPA,463,12
1157,0.047,,Tejas Lager,Czech Pilsener,463,12
1156,0.064,,Number 22 Porter,American Porter,463,12
1155,0.056,,Big Bend Hefeweizen,Hefeweizen,463,12
1154,0.06,,Terlingua Gold,American Blonde Ale,463,12
2104,0.081,17,Aprè Shred,American Strong Ale,220,16
1762,0.095,104,Hemlock Double IPA,American Double / Imperial IPA,220,12
1422,0.041,,West Portal Colorado Common Summer Ale,California Common / Steam Beer,220,16
1067,0.067,85,Disconnected Red,American Amber / Red Ale,220,16
1003,0.07,,Big Elm IPA,American IPA,477,12
1002,0.065,,Gerry Dog Stout,American Stout,477,12
1001,0.06,,413 Farmhouse Ale,Saison / Farmhouse Ale,477,12
2639,0.08,54,Dark Star,American Stout,8,16
2469,0.062,,Ryecoe,American IPA,8,16
2586,0.06,,Blueberry Blonde,Fruit / Vegetable Beer,40,12
2585,0.075,60,Galaxy IPA,American IPA,40,16
643,0.05,32,Big River Pilsner,Czech Pilsener,519,12
632,0.06,55,House Brand IPA,American IPA,519,12
1714,0.062,65,Big Sky IPA,American IPA,336,12
1713,0.05,40,Scape Goat Pale Ale,English Pale Ale,336,12
1712,0.05,35,Montana Trout Slayer Ale,American Pale Wheat Ale,336,12
1711,0.051,26,Moose Drool Brown Ale,American Brown Ale,336,12
1456,0.072,60,Powder Hound Winter Ale,English Strong Ale,336,12
767,0.051,26,Moose Drool Brown Ale (2011),American Brown Ale,336,12
766,0.05,35,Montana Trout Slayer Ale (2012),American Pale Wheat Ale,336,12
579,0.062,65,Big Sky IPA (2012),American IPA,336,12
168,0.047,,Summer Honey,American Blonde Ale,336,12
159,0.05,40,Scape Goat Pale Ale (2010),English Pale Ale,336,12
35,0.05,35,Montana Trout Slayer Ale (2009),American Pale Wheat Ale,336,12
34,0.051,26,Moose Drool Brown Ale (2009),American Brown Ale,336,12
2096,0.069,81,Arcus IPA,American IPA,221,12
2095,0.058,38,Wavemaker,American Amber / Red Ale,221,12
1257,0.053,43,Jack Pine Savage,American Pale Ale (APA),444,16
1256,0.099,85,Forest Fire Imperial Smoked Rye,Rye Beer,444,16
1255,0.098,76,Bad Axe Imperial IPA,American Double / Imperial IPA,444,16
986,0.055,35,Morning Wood,Oatmeal Stout,444,16
985,0.066,50,Bark Bite IPA,American IPA,444,16
2508,0.055,45,Jalapeno Pale Ale,American Pale Ale (APA),70,16
1441,0.052,,Blown Out Brown,American Brown Ale,407,12
1413,0.063,,Single Hop Ale,American Pale Ale (APA),407,12
1411,0.054,,Sawtooth Ale,American Blonde Ale,407,12
2620,0.072,75,Saucy Intruder,Rye Beer,18,16
2412,0.045,16,Deception,American Blonde Ale,112,12
1898,0.075,35,Blackmarket Rye IPA,American IPA,112,12
1897,0.05,8,Black Market Hefeweizen,Hefeweizen,112,12
1896,0.058,44,Aftermath Pale Ale,American Pale Ale (APA),112,12
1850,0.071,83,American India Red Ale,American Strong Ale,294,12
1849,0.071,45,American Red Porter,American Porter,294,12
1848,0.078,34,American Red Saison,Saison / Farmhouse Ale,294,12
1847,0.066,44,Colorado Red Ale,American Amber / Red Ale,294,12
2485,0.048,16,Saddle Bronc Brown Ale,American Brown Ale,79,12
2484,0.046,20,Bomber Mountain Amber Ale,American Amber / Red Ale,79,12
2449,0.073,,Flying Sailor,Rye Beer,95,12
2634,0.048,47,Nordskye ,American IPA,12,12
2153,0.06,30,North Third Stout,Foreign / Export Stout,12,12
1953,0.052,,Honey Lav,American Pale Wheat Ale,12,12
1496,0.068,,Coconut Brown Ale,American Brown Ale,12,12
1481,0.07,51,51K IPA,American IPA,12,12
1480,0.055,,Grand Rabbits,Cream Ale,12,12
1564,0.05,,1800 Big Log Wheat (2012),American Pale Wheat Ale,380,12
1541,,,Double Play Pilsner,American Pilsner,380,12
1321,0.055,,Brewerhood Brown Ale,American Brown Ale,380,12
1320,0.08,,Last Call Imperial Amber Ale,American Amber / Red Ale,380,12
1319,0.096,,Pernicious Double IPA,American Double / Imperial IPA,380,12
1303,0.052,,6-4-3 Double Play Pilsner,German Pilsener,380,12
1025,,,N Street Drive-In 50th Anniversary IPA,American Double / Imperial IPA,380,12
1012,0.05,,467 Ethan's Stout,American Stout,380,12
942,0.064,,1335 Wicked Snout,Saison / Farmhouse Ale,380,12
937,0.045,,543 Skull Creek Fresh Hopped Pale Ale,American Pale Ale (APA),380,12
888,0.056,37,1327 Pod's ESB,Extra Special / Strong Bitter (ESB),380,12
886,0.056,37,1327 Pod's ESB,Extra Special / Strong Bitter (ESB),380,12
612,0.056,37,1327 Pod's ESB,Extra Special / Strong Bitter (ESB),380,12
611,0.046,35,834 Happy As Ale,American Pale Ale (APA),380,12
1372,0.059,,Yellow Collar,Mead,422,12
1371,0.059,,Green Collar,Mead,422,12
1812,0.08,80,Quarter Mile Double IPA,American Double / Imperial IPA,304,12
1547,0.059,60,Full Nelson Pale Ale,American Pale Ale (APA),382,12
1546,0.065,30,Steel Wheels ESB,Extra Special / Strong Bitter (ESB),382,12
1545,0.053,22,Blue Mountain Classic Lager,Euro Pale Lager,382,12
119,0.059,60,Full Nelson Pale Ale (2010),American Pale Ale (APA),382,12
1408,0.049,16,Kölsch 151,Kölsch,414,12
2490,,,Professor Black,American Stout,77,12
2489,,,Little Boss,American Pale Wheat Ale,77,12
2488,,,Van Dayum!,American Amber / Red Ale,77,12
2487,,,Spirit Animal,American Pale Ale (APA),77,12
939,0.07,,Toxic Sludge,American Black Ale,489,16
692,0.06,40,Blue Point White IPA,American White IPA,489,12
667,0.044,16,Blue Point Summer Ale,American Blonde Ale,489,12
665,0.055,28,Toasted Lager,Vienna Lager,489,12
1607,0.06,,Bohemian Export Lager,Dortmunder / Export Lager,364,12
1597,0.053,,Altus Bohemes Altbier,Altbier,364,12
344,0.04,,Cherny Bock,Schwarzbier,364,12
89,0.05,,Czech Pilsner,Czech Pilsener,364,12
88,0.05,,Viennese Lager,Vienna Lager,364,12
1569,0.065,,Mad Manatee IPA,American IPA,378,12
1568,0.055,,Killer Whale Cream Ale,Cream Ale,378,12
1188,0.06,,Duke's Cold Nose Brown Ale,American Brown Ale,378,12
1891,0.042,30,Longhop IPA,American IPA,281,16
1890,0.04,34,Lucky Buck,Irish Dry Stout,281,16
577,0.051,,Bomb Lager (New Recipe),Munich Helles Lager,525,12
513,0.045,27,Bomb Lager (Old Recipe),Munich Helles Lager,525,12
2422,0.066,72,Firestarter India Pale Ale,American IPA,107,12
1727,0.075,22,Kilt Dropper Scotch Ale,Scotch Ale / Wee Heavy,107,16
1614,0.048,30,Wood Splitter Pilsner,Czech Pilsener,107,16
1613,0.056,26,Gyptoberfest,Märzen / Oktoberfest,107,12
1549,0.07,94,Farmer Wirtz India Pale Ale,English India Pale Ale (IPA),107,16
1548,0.047,,Slow & Steady Golden Ale,American Blonde Ale,107,12
1517,0.068,,Pink-I Raspberry IPA,American IPA,107,16
1500,0.047,,Moe's Original Bar B Que 'Bama Brew Golden Ale,American Blonde Ale,107,12
1421,0.047,,Live Local Golden Ale,American Blonde Ale,107,12
1360,0.048,38,Screaming Eagle Special Ale ESB,Extra Special / Strong Bitter (ESB),107,12
1184,0.049,,Dirtbag Dunkel,Munich Dunkel Lager,107,16
1183,0.053,45,Kindler Pale Ale,American Pale Ale (APA),107,12
1023,0.064,,Mistress Winter Wheat,Winter Warmer,107,12
998,0.061,,Tent Pole Vanilla Porter,American Porter,107,16
997,0.058,,Awry Rye Pale Ale,American Pale Ale (APA),107,12
996,0.058,,Demshitz Brown Ale,American Brown Ale,107,12
931,0.048,,Wood Splitter Pilsner (2012),Czech Pilsener,107,12
798,0.048,,Brush Creek Blonde,American Blonde Ale,107,16
633,0.066,72,Firestarter India Pale Ale,American IPA,107,16
2062,0.071,16,Noche Dulce,American Porter,231,16
1830,0.045,8,Porch Rocker,Radler,300,12
1629,0.065,45,Rebel IPA,American IPA,300,16
1601,0.055,,Cold Snap,Witbier,300,12
1427,0.056,,Samuel Adams Winter Lager,Bock,300,12
1349,0.049,30,Boston Lager,Vienna Lager,300,16
1310,0.049,30,Boston Lager,Vienna Lager,300,12
1281,0.053,15,Samuel Adams Octoberfest,Märzen / Oktoberfest,300,12
1144,0.053,7,Samuel Adams Summer Ale,American Pale Wheat Ale,300,12
1143,0.049,30,Boston Lager,Vienna Lager,300,12
1395,0.049,35,Hazed & Infused,American Pale Ale (APA),417,12
808,0.057,35,Hoopla Pale Ale,American Pale Ale (APA),417,12
81,0.049,35,Hazed & Infused (2010),American Pale Ale (APA),417,12
2596,0.062,80,Heavy Lifting,American IPA,31,12
2300,0.065,,1492,American Pale Ale (APA),167,12
2299,0.058,,Mango Ginger,American IPA,167,12
2298,0.047,,Passenger,English Dark Mild Ale,167,12
2107,0.06,52,Plum St. Porter,American Porter,219,12
1573,0.057,52,Plum St. Porter,American Porter,219,12
1289,0.07,80,Bozone HopZone IPA,American IPA,219,12
1288,0.06,25,Bozone Hefe Weizen,Hefeweizen,219,12
470,0.055,,Bozone Select Amber Ale,American Amber / Red Ale,219,12
2167,0.052,40,Evil Owl,American Amber / Red Ale,207,12
2204,0.05,,Post Time Kölsch,Kölsch,195,16
1522,0.042,9,Agave Wheat,American Pale Wheat Ale,391,12
397,0.045,15,SummerBright Ale,American Pale Wheat Ale,391,12
193,0.062,68,Lucky U IPA,American IPA,391,12
83,0.054,19,Avalanche Ale,American Amber / Red Ale,391,12
1802,0.05,,"You're My Boy, Blue",Fruit / Vegetable Beer,308,12
1801,0.072,60,Last Stop IPA,American IPA,308,12
1800,0.05,21,Rollin Dirty Red Ale,Irish Red Ale,308,12
1799,0.055,28,Are Wheat There Yet?,American Pale Wheat Ale,308,12
2619,0.058,,Insert Hop Reference,American Pale Ale (APA),19,16
2468,0.053,,Manitou Amber,American Amber / Red Ale,85,16
2637,0.067,,Belfort,Saison / Farmhouse Ale,10,16
2636,0.06,,Star Runner,Belgian Pale Ale,10,16
2598,0.098,,Tart Side of the Barrel,American Double / Imperial Stout,10,16
2597,0.06,,Linnaeus Mango IPA,American IPA,10,16
2548,0.07,,Beasts A'Burnin',Rauchbier,10,16
2542,0.077,,Verdun,Bière de Garde,10,16
2541,0.065,,Barrel Aged Triomphe,Belgian IPA,10,16
2504,0.065,,Cherry Doppelbock,Doppelbock,10,16
2500,0.065,,Tropical Saison,Saison / Farmhouse Ale,10,16
2499,0.065,,Beach Patrol,Witbier,10,16
2498,0.05,,Nuit Serpent,Belgian IPA,10,16
2481,0.09,,Paris,Saison / Farmhouse Ale,10,16
2476,0.055,,The Grand Army,Belgian IPA,10,16
2467,0.059,,Acidulated Trip,Saison / Farmhouse Ale,10,16
2466,0.066,,Root Stock,Rye Beer,10,16
2465,0.041,,Mind Games,Dunkelweizen,10,16
2433,0.082,,Sous Chef,Belgian Strong Pale Ale,10,16
2418,0.065,,Dubbelicious,Dubbel,10,16
2416,0.062,,Psychopomp,Belgian Dark Ale,10,16
2382,,,Fat Paczki,Belgian Dark Ale,10,16
2381,,,Earth-Like Planets,Belgian Pale Ale,10,16
2290,0.061,,Ski Patrol,Witbier,10,16
2241,0.063,,Viking Ice Hole,Oatmeal Stout,10,16
2240,0.056,,Rye Porter,American Porter,10,16
2137,0.099,,Wizard Burial Ground,Quadrupel (Quad),10,16
2101,0.051,,Smoky Wheat,Rauchbier,10,16
2092,0.062,,BRIPA,Belgian IPA,10,16
2091,0.062,,Mela,Belgian Dark Ale,10,16
2086,0.053,,W.I.P.A Snappa,Belgian IPA,10,16
2023,0.063,,Pepper in the Rye,Rye Beer,10,16
2006,0.064,,Moe Lasses',American Stout,10,16
1997,0.07,,Pumpkin Tart,Fruit / Vegetable Beer,10,16
1977,0.067,,Undertaker,Belgian Dark Ale,10,16
1976,0.067,,Undertaker (2014),Belgian Dark Ale,10,16
1974,0.05,,Coq D'Or,Belgian Pale Ale,10,16
1973,0.06,,North French,Bière de Garde,10,16
1959,0.065,,Agent a Deux,Belgian Dark Ale,10,16
1958,0.045,,Belgian Wit,Witbier,10,16
1949,0.063,,Pothole Stout,American Stout,10,16
1947,0.093,,Tree Bucket,Belgian IPA,10,16
1785,0.073,,Le Flaneur Ale,American Wild Ale,10,16
1651,0.056,,Maize & Blueberry,Fruit / Vegetable Beer,10,16
1443,0.093,,Trebuchet Double IPA,American Double / Imperial IPA,10,16
1352,0.065,,Contemplation,Bière de Garde,10,16
1267,0.05,,Black Rabbit,American Black Ale,10,16
1266,0.09,,Zaison,Saison / Farmhouse Ale,10,16
1178,0.082,,Vivant Tripel,Tripel,10,16
1136,0.098,,Tart Side of the Moon,Belgian Dark Ale,10,16
1044,0.06,,Big Red Coq,American Amber / Red Ale,10,16
1033,0.099,,Hubris Quadrupel Anniversary Ale,Quadrupel (Quad),10,16
1031,0.095,,Plow Horse Belgian Style Imperial Stout,American Double / Imperial Stout,10,16
909,0.092,,Escoffier Bretta Ale,American Wild Ale,10,16
873,0.065,,Contemplation (2012),Bière de Garde,10,16
860,0.099,,Vivant Belgian Style Imperial Stout (2012),Russian Imperial Stout,10,16
677,0.062,,Big Red Coq (2012),American Amber / Red Ale,10,16
671,0.09,,Zaison (2012),Saison / Farmhouse Ale,10,16
670,0.092,,Vivant Tripel (2012),Tripel,10,16
669,0.097,,Trebuchet Double IPA (2012),Belgian IPA,10,16
